,0,1,bc
493,0.8285779,-4.660286,E2 w/d 0h
494,-7.891309,1.2167025,E2 w/d 48h
495,3.8683362,-1.3464851,E2 w/d 0h
496,5.1958256,-2.9813313,E2 w/d 0h
497,-3.824654,2.8168912,E2 w/d 24h
498,3.4331932,-4.350288,E2 w/d 0h
499,2.5076728,-3.5869281,E2 w/d 0h
500,-5.843811,0.9187069,E2 w/d 24h
501,2.8007567,7.4360757,E2 w/d 12h
502,3.2289915,-4.988875,E2 w/d 0h
503,2.9390185,-2.8365371,E2 w/d 0h
504,-2.3153274,6.079571,E2 w/d 24h
505,-4.216808,1.1559703,E2 w/d 24h
506,3.693998,6.195786,E2 w/d 12h
507,4.7087216,-4.8011627,E2 w/d 0h
508,3.7388813,-3.0847728,E2 w/d 0h
509,-6.975632,-0.66441154,E2 w/d 48h
510,3.3642159,6.150096,E2 w/d 12h
511,4.2065396,3.8999135,E2 w/d 12h
512,-6.3063164,3.5829291,E2 w/d 48h
513,-7.1906147,0.29145408,E2 w/d 48h
514,-5.7044263,3.9233258,E2 w/d 48h
515,2.833231,-5.592354,E2 w/d 0h
516,1.7371666,-1.6274672,E2 w/d 0h
517,1.1742346,-4.387579,E2 w/d 0h
518,4.604999,-3.158403,E2 w/d 0h
519,-0.8313928,-5.2030683,E2 w/d 0h
520,-2.3027961,2.5751345,E2 w/d 48h
521,3.4089274,-5.040475,E2 w/d 0h
522,2.4547265,-0.8905602,E2 w/d 0h
523,-1.4131008,2.791451,E2 w/d 24h
524,-4.9357653,2.5141466,E2 w/d 48h
525,-6.5087805,2.7385342,E2 w/d 48h
526,-3.4005034,3.8138905,E2 w/d 48h
527,3.656486,-2.8039048,E2 w/d 0h
528,0.06439245,-5.9165626,E2 w/d 0h
529,-1.110213,3.4801803,E2 w/d 24h
530,-6.7096977,4.6636147,E2 w/d 48h
531,-1.8884246,2.3092034,E2 w/d 24h
532,-8.808162,2.88396,E2 w/d 48h
533,-1.6137335,4.9711785,E2 w/d 24h
534,-2.476737,1.4823825,E2 w/d 24h
535,-0.2661593,-6.148071,E2 w/d 0h
536,0.34070602,0.97615826,E2 w/d 24h
537,-2.4457116,4.4850388,E2 w/d 24h
538,2.393276,-2.8126123,E2 w/d 0h
539,3.7445822,-2.5122929,E2 w/d 0h
540,-0.6850631,-4.559604,E2 w/d 0h
541,3.8821025,5.864669,E2 w/d 12h
542,-1.9314823,6.0460043,E2 w/d 24h
543,2.4194624,-4.548892,E2 w/d 0h
544,2.4263842,-3.7885,E2 w/d 0h
545,4.904486,-1.2838944,E2 w/d 0h
546,-5.699921,4.260023,E2 w/d 48h
547,4.366739,-2.5455468,E2 w/d 0h
548,3.2832558,3.5020955,E2 w/d 12h
549,5.5360036,-1.7193509,E2 w/d 0h
550,0.935543,-3.300485,E2 w/d 0h
551,-2.4417799,4.3324313,E2 w/d 24h
552,1.9232676,-2.3749373,E2 w/d 0h
553,-2.1764886,2.564669,E2 w/d 24h
554,-3.232716,2.6793234,E2 w/d 24h
555,5.044473,-1.8464282,E2 w/d 0h
556,2.5099516,3.5922787,E2 w/d 12h
557,3.0999403,-3.1472077,E2 w/d 0h
558,-0.9104002,4.581986,E2 w/d 24h
559,3.780101,2.8844066,E2 w/d 12h
560,3.6901486,-2.9146981,E2 w/d 0h
561,-2.421798,5.9629707,E2 w/d 48h
562,-0.3362872,-3.1158085,E2 w/d 0h
563,-0.7018987,-5.8485227,E2 w/d 0h
564,-4.6620207,5.429362,E2 w/d 48h
565,-1.422609,-4.6857634,E2 w/d 0h
566,2.5646985,-4.0086327,E2 w/d 0h
567,-3.5795352,5.717841,E2 w/d 24h
568,-7.2546077,0.67404413,E2 w/d 48h
569,-1.0396205,5.1330023,E2 w/d 24h
570,-1.8518717,3.4435625,E2 w/d 24h
